id,name,category,subcategory,tags,brand,price,originalPrice,discount,rating,reviewCount,stock,image,deliveryDays,isPrime,sizes,colors
41,Hoka Clifton 9 - Grey (1),footwear,running,max cushion|running|grey,Hoka,165.9,190.37,13,4.4,11135,275,https://picsum.photos/seed/hoka-running-41/800/1000,6,False,8|10|9|12|6,Olive|White
42,New Balance 990v6 - Black (2),footwear,running,running|made in usa|suede|black,New Balance,228.61,288.43,21,4.7,2819,449,https://picsum.photos/seed/new-balance-running-42/800/1000,3,True,6|10|7|8,Pink|Olive|White
43,Carhartt WIP Chase Hoodie - Pink (3),men,hoodies,fleece|street|pink,Carhartt WIP,102.7,120.43,15,4.3,14123,354,https://picsum.photos/seed/carhartt-wip-hoodies-43/800/1000,3,False,L|M|XL|XXL|S,Brown
44,Olaplex No.3 Hair Perfector - Green (3),beauty,haircare,bond repair|hair|green,Olaplex,33.45,36.95,9,4.4,10922,470,https://picsum.photos/seed/olaplex-haircare-44/800/1000,5,False,,Navy|Red
45,Kindle Paperwhite 11th Gen - Olive (4),accessories,ereader,ereader|waterproof|olive,Amazon,159.26,212.19,25,4.0,9440,188,https://picsum.photos/seed/amazon-ereader-45/800/1000,2,True,,Beige|Blue|White
46,Reformation Nikita Dress - Green (2),women,dresses,sustainable|summer|green,Reformation,270.16,351.5,23,4.7,5583,438,https://picsum.photos/seed/reformation-dresses-46/800/1000,4,True,XXL|M|S|L,Green|Brown
47,Nike Air Force 1 '07 - Beige (4),footwear,sneakers,sneakers|leather|heritage|beige,Nike,122.96,160.86,24,4.6,10987,475,https://picsum.photos/seed/nike-sneakers-47/800/1000,5,True,7|11|12|8,Grey|Navy
48,Fenty Beauty Gloss Bomb - Olive (4),beauty,makeup,lip gloss|shine|olive,Fenty Beauty,22.38,27.92,20,3.9,9733,346,https://picsum.photos/seed/fenty-beauty-makeup-48/800/1000,4,True,,Beige|White|Purple
49,Sony WH-1000XM5 - Black (2),accessories,headphones,anc|wireless|black,Sony,368.15,488.77,25,4.4,16411,97,https://picsum.photos/seed/sony-headphones-49/800/1000,6,True,,Grey
50,The North Face Nuptse Jacket - Grey (1),women,jackets,down|outdoor|grey,The North Face,363.19,439.55,17,5.0,6162,294,https://picsum.photos/seed/the-north-face-jackets-50/800/1000,5,False,XS|M|XXL|XL|S,Black|Blue
51,Reformation Nikita Dress - Blue (4),women,dresses,sustainable|summer|blue,Reformation,242.88,277.08,12,4.1,4222,242,https://picsum.photos/seed/reformation-dresses-51/800/1000,4,True,L|M|XXL,Purple|Red|Beige
52,CeraVe Hydrating Facial Cleanser - Pink (1),beauty,skincare,cleanser|ceramides|pink,CeraVe,16.39,20.75,21,3.9,11266,260,https://picsum.photos/seed/cerave-skincare-52/800/1000,4,True,,Red|White
53,Kiehl's Ultra Facial Cream - Pink (1),beauty,moisturizer,moisturizer|hydrating|pink,Kiehl's,35.01,38.01,8,4.1,13077,494,https://picsum.photos/seed/kiehl's-moisturizer-53/800/1000,5,False,,Beige
54,Madewell Transport Tote - Olive (1),accessories,bags,tote|leather|olive,Madewell,184.23,205.95,11,4.8,1062,0,https://picsum.photos/seed/madewell-bags-54/800/1000,3,True,,Brown
55,LEGO Classic Bricks and Wheels - Olive (3),kids,toys,lego|creative|olive,LEGO,30.65,36.88,17,4.3,17883,73,https://picsum.photos/seed/lego-toys-55/800/1000,6,True,10C|11C|13C|12C,Purple
56,Birkenstock Arizona EVA - Blue (4),footwear,sandals,sandals|summer|blue,Birkenstock,48.07,58.42,18,4.5,11025,119,https://picsum.photos/seed/birkenstock-sandals-56/800/1000,6,True,11|7|12,Green|White
57,Dyson Supersonic Hair Dryer - White (4),beauty,haircare,hair dryer|premium|white,Dyson,490.26,653.37,25,4.0,5193,163,https://picsum.photos/seed/dyson-haircare-57/800/1000,2,True,,Purple|Grey
58,Madewell Transport Tote - Pink (4),accessories,bags,tote|leather|pink,Madewell,174.48,212.47,18,5.0,7368,317,https://picsum.photos/seed/madewell-bags-58/800/1000,4,False,,Grey|Pink
59,CeraVe Hydrating Facial Cleanser - Beige (1),beauty,skincare,cleanser|ceramides|beige,CeraVe,17.84,23.2,23,4.9,14629,42,https://picsum.photos/seed/cerave-skincare-59/800/1000,2,True,,Pink
60,Olaplex No.3 Hair Perfector - Beige (2),beauty,haircare,bond repair|hair|beige,Olaplex,31.69,38.58,18,4.3,9088,4,https://picsum.photos/seed/olaplex-haircare-60/800/1000,2,True,,Grey|Beige
61,Sony WH-1000XM5 - Brown (1),accessories,headphones,anc|wireless|brown,Sony,406.79,453.92,10,4.1,4896,153,https://picsum.photos/seed/sony-headphones-61/800/1000,3,True,,Blue|Beige
62,Adidas Ultraboost Light - White (2),footwear,running,running|boost|performance|white,Adidas,208.75,220.13,5,4.3,7581,355,https://picsum.photos/seed/adidas-running-62/800/1000,3,False,7|11|12|8|10|6|9,Beige|Blue
63,Sony WH-1000XM5 - Pink (4),accessories,headphones,anc|wireless|pink,Sony,361.99,445.31,19,4.3,10510,362,https://picsum.photos/seed/sony-headphones-63/800/1000,2,True,,Pink|White
64,Converse Chuck 70 High - Olive (4),footwear,sneakers,canvas|lifestyle|olive,Converse,91.96,113.93,19,4.1,1348,198,https://picsum.photos/seed/converse-sneakers-64/800/1000,3,False,7|11|6|10,Pink
65,Dyson Supersonic Hair Dryer - Olive (3),beauty,haircare,hair dryer|premium|olive,Dyson,486.32,559.24,13,4.8,6645,226,https://picsum.photos/seed/dyson-haircare-65/800/1000,6,False,,White
66,Levi's Ribcage Straight Ankle - White (1),women,jeans,denim|high rise|white,Levi's,108.93,116.15,6,4.4,2381,410,https://picsum.photos/seed/levi's-jeans-66/800/1000,4,True,XS|L|XXL|S|XL|M,Pink|Green
67,Everlane Organic Cotton Box-Cut Tee - Green (3),women,tops,basics|cotton|green,Everlane,29.39,34.94,16,4.0,16835,386,https://picsum.photos/seed/everlane-tops-67/800/1000,6,True,XL|S|XS|L|M|XXL,Purple
68,Levi's 501 Original Fit Jeans - Red (3),men,jeans,denim|heritage|red,Levi's,101.95,122.62,17,3.9,7501,344,https://picsum.photos/seed/levi's-jeans-68/800/1000,5,False,L|XL|M|S|XS|XXL,Beige|Brown|Navy
69,Apple Watch SE (2nd Gen) - Olive (2),accessories,watches,smartwatch|fitness|olive,Apple,242.77,279.68,13,4.6,10397,334,https://picsum.photos/seed/apple-watches-69/800/1000,6,False,,White|Green
70,Rains Long Jacket - Grey (2),men,jackets,rain|lightweight|grey,Rains,133.01,150.64,12,4.3,7043,401,https://picsum.photos/seed/rains-jackets-70/800/1000,4,True,L|S|XXL|XS,Grey|Blue
71,LEGO Classic Bricks and Wheels - Navy (4),kids,toys,lego|creative|navy,LEGO,26.55,27.93,5,4.5,14379,474,https://picsum.photos/seed/lego-toys-71/800/1000,4,True,3Y|12C|11C,Brown
72,Vuori Halo Performance Hoodie - Navy (3),women,hoodies,athleisure|soft|navy,Vuori,106.31,132.72,20,4.7,16203,310,https://picsum.photos/seed/vuori-hoodies-72/800/1000,4,True,XS|XL|M|L|S,Olive|Blue|Brown
73,Carter's 2-Piece Pajama Set - Purple (2),kids,sleepwear,pajamas|soft|purple,Carter's,25.26,29.47,14,4.0,2268,462,https://picsum.photos/seed/carter's-sleepwear-73/800/1000,3,True,12C|1Y|3Y,Brown|Beige
74,Carhartt WIP Chase Hoodie - Brown (2),men,hoodies,fleece|street|brown,Carhartt WIP,101.26,129.85,22,3.8,11566,135,https://picsum.photos/seed/carhartt-wip-hoodies-74/800/1000,5,True,XS|XL|S|L,Navy|Grey
75,Fenty Beauty Gloss Bomb - Olive (3),beauty,makeup,lip gloss|shine|olive,Fenty Beauty,20.03,25.11,20,4.5,17497,40,https://picsum.photos/seed/fenty-beauty-makeup-75/800/1000,4,True,,Purple
76,Oakley Holbrook Prizm - White (4),accessories,sunglasses,prizm|sport|white,Oakley,151.14,189.4,20,4.8,4355,233,https://picsum.photos/seed/oakley-sunglasses-76/800/1000,2,False,,Navy|Pink|Black
77,COS Relaxed Linen Shirt - Beige (2),men,shirts,linen|summer|beige,COS,84.88,106.24,20,4.3,4357,279,https://picsum.photos/seed/cos-shirts-77/800/1000,6,False,XXL|L|M|XL,White|Blue
78,Patagonia Better Sweater Fleece - Blue (2),women,sweaters,fleece|outdoor|blue,Patagonia,154.83,195.08,21,4.6,11394,164,https://picsum.photos/seed/patagonia-sweaters-78/800/1000,4,True,XXL|M|L,White
79,Arc'teryx Atom LT Hoody - White (4),men,jackets,insulated|outdoor|white,Arc'teryx,274.43,356.6,23,3.9,10490,412,https://picsum.photos/seed/arc'teryx-jackets-79/800/1000,6,True,L|XS|XXL|M,Beige|Navy
80,Casio G-Shock DW5600 - Grey (1),accessories,watches,shock resistant|digital|grey,Casio,90.14,107.71,16,4.9,5701,22,https://picsum.photos/seed/casio-watches-80/800/1000,4,True,,Black
81,Nike Air Force 1 '07 - Blue (3),footwear,sneakers,sneakers|leather|heritage|blue,Nike,108.41,133.59,19,4.5,6416,74,https://picsum.photos/seed/nike-sneakers-81/800/1000,3,True,12|7|11,Green
82,Carter's 2-Piece Pajama Set - Blue (1),kids,sleepwear,pajamas|soft|blue,Carter's,27.3,36.07,24,4.0,2095,427,https://picsum.photos/seed/carter's-sleepwear-82/800/1000,5,True,3Y|11C|12C,Black|Brown|Navy
83,LEGO Classic Bricks and Wheels - Beige (2),kids,toys,lego|creative|beige,LEGO,32.21,39.81,19,5.0,13758,267,https://picsum.photos/seed/lego-toys-83/800/1000,5,False,10C|12C,Green|White
84,Levi's 501 Original Fit Jeans - Purple (4),men,jeans,denim|heritage|purple,Levi's,106.47,125.24,15,4.2,4170,425,https://picsum.photos/seed/levi's-jeans-84/800/1000,2,True,S|XS|XL|L|XXL|M,Blue|Olive|Grey
85,Anker 737 Power Bank - Purple (1),accessories,gadgets,power bank|usb-c|purple,Anker,135.11,147.07,8,3.9,14428,9,https://picsum.photos/seed/anker-gadgets-85/800/1000,5,False,,Black|Beige|Olive
86,Skip Hop Diaper Backpack - Pink (3),kids,bags,parents|diaper|pink,Skip Hop,82.41,100.83,18,4.6,4168,86,https://picsum.photos/seed/skip-hop-bags-86/800/1000,6,True,13C|11C,Olive|Navy
87,LEGO Classic Bricks and Wheels - Navy (1),kids,toys,lego|creative|navy,LEGO,28.23,30.4,7,4.0,17688,273,https://picsum.photos/seed/lego-toys-87/800/1000,6,True,13C|2Y|3Y|10C|12C|1Y,Brown|Grey
88,Nike Dri-FIT Challenger Shorts - Pink (1),men,shorts,running|lightweight|pink,Nike,43.52,55.75,22,4.9,591,20,https://picsum.photos/seed/nike-shorts-88/800/1000,2,False,M|XXL|L|S|XL,Green|Purple|Beige
89,Kindle Paperwhite 11th Gen - Purple (3),accessories,ereader,ereader|waterproof|purple,Amazon,145.72,178.95,19,4.9,7554,371,https://picsum.photos/seed/amazon-ereader-89/800/1000,3,False,,White
90,Kindle Paperwhite 11th Gen - Beige (1),accessories,ereader,ereader|waterproof|beige,Amazon,146.17,185.34,21,4.6,11359,313,https://picsum.photos/seed/amazon-ereader-90/800/1000,5,False,,Purple|Grey
91,Hoka Clifton 9 - Brown (4),footwear,running,max cushion|running|brown,Hoka,164.21,196.73,17,4.5,9896,24,https://picsum.photos/seed/hoka-running-91/800/1000,2,True,9|11|7|8|12|6,Navy|Pink|Grey
92,Rains Long Jacket - Purple (4),men,jackets,rain|lightweight|purple,Rains,128.92,161.32,20,4.1,15172,451,https://picsum.photos/seed/rains-jackets-92/800/1000,4,True,L|XXL|S,Beige
93,Kiehl's Ultra Facial Cream - Olive (2),beauty,moisturizer,moisturizer|hydrating|olive,Kiehl's,40.13,47.3,15,4.0,9925,142,https://picsum.photos/seed/kiehl's-moisturizer-93/800/1000,6,False,,Black
94,Rains Long Jacket - Beige (3),men,jackets,rain|lightweight|beige,Rains,113.83,127.63,11,4.6,6961,225,https://picsum.photos/seed/rains-jackets-94/800/1000,3,False,XXL|XS|L,Red|Beige|Olive
95,Nike Air Force 1 '07 - White (2),footwear,sneakers,sneakers|leather|heritage|white,Nike,99.89,117.91,15,4.9,15686,486,https://picsum.photos/seed/nike-sneakers-95/800/1000,4,True,11|8|12|9|6|10|7,Green
96,Dr. Martens 1460 Smooth - White (3),footwear,boots,boots|leather|white,Dr. Martens,192.94,244.72,21,4.1,8410,345,https://picsum.photos/seed/dr.-martens-boots-96/800/1000,4,True,8|6|12|10|11|7,Navy|Pink|White
97,LEGO Classic Bricks and Wheels - Pink (1),kids,toys,lego|creative|pink,LEGO,27.2,35.4,23,4.3,2535,334,https://picsum.photos/seed/lego-toys-97/800/1000,5,True,2Y|11C|12C,Pink|Green|White
98,Kindle Paperwhite 11th Gen - Red (1),accessories,ereader,ereader|waterproof|red,Amazon,160.63,199.21,19,4.1,9439,44,https://picsum.photos/seed/amazon-ereader-98/800/1000,3,False,,Blue|Beige|Olive
99,Kindle Paperwhite 11th Gen - Red (4),accessories,ereader,ereader|waterproof|red,Amazon,170.05,228.29,26,5.0,14527,196,https://picsum.photos/seed/amazon-ereader-99/800/1000,4,True,,Grey
100,Reformation Nikita Dress - White (2),women,dresses,sustainable|summer|white,Reformation,247.22,309.15,20,4.9,8539,365,https://picsum.photos/seed/reformation-dresses-100/800/1000,5,True,XXL|XL|S|XS|M,Navy
101,Herschel Little America Backpack - White (2),accessories,bags,backpack|travel|white,Herschel,110.16,130.72,16,3.9,1560,359,https://picsum.photos/seed/herschel-bags-101/800/1000,2,True,,White|Red|Blue
102,New Balance 990v6 - Grey (3),footwear,running,running|made in usa|suede|grey,New Balance,207.15,266.38,22,4.0,8804,355,https://picsum.photos/seed/new-balance-running-102/800/1000,5,True,6|12|7|10,Olive|Pink|Blue
103,Casio G-Shock DW5600 - Navy (1),accessories,watches,shock resistant|digital|navy,Casio,89.83,120.97,26,4.9,16155,480,https://picsum.photos/seed/casio-watches-103/800/1000,3,True,,Navy|White|Blue
104,La Roche-Posay Anthelios SPF 60 - Pink (4),beauty,skincare,sunscreen|spf|pink,La Roche-Posay,40.31,48.79,17,3.8,15227,379,https://picsum.photos/seed/la-roche-posay-skincare-104/800/1000,5,True,,White|Green|Beige
105,Timberland 6-Inch Premium - Pink (4),footwear,boots,boots|waterproof|pink,Timberland,193.25,205.98,6,4.2,8524,288,https://picsum.photos/seed/timberland-boots-105/800/1000,4,True,10|7|11|6|8,Olive
106,Dr. Martens 1460 Smooth - Blue (3),footwear,boots,boots|leather|blue,Dr. Martens,172.05,186.91,8,4.9,11599,285,https://picsum.photos/seed/dr.-martens-boots-106/800/1000,2,False,12|7|11,Black|Blue|Beige
107,Hoka Clifton 9 - Brown (1),footwear,running,max cushion|running|brown,Hoka,145.13,188.48,23,4.6,6772,440,https://picsum.photos/seed/hoka-running-107/800/1000,3,False,10|12|6,Brown|Green
108,Anker 737 Power Bank - Pink (1),accessories,gadgets,power bank|usb-c|pink,Anker,150.06,198.97,25,4.2,1957,62,https://picsum.photos/seed/anker-gadgets-108/800/1000,5,False,,Beige
109,Patagonia Better Sweater Fleece - Grey (3),women,sweaters,fleece|outdoor|grey,Patagonia,145.91,186.54,22,4.2,9490,277,https://picsum.photos/seed/patagonia-sweaters-109/800/1000,4,True,XL|XXL|XS|M|S|L,Blue|Navy
110,Skip Hop Diaper Backpack - Purple (3),kids,bags,parents|diaper|purple,Skip Hop,85.97,105.85,19,4.3,17826,291,https://picsum.photos/seed/skip-hop-bags-110/800/1000,4,False,3Y|1Y|10C|12C,Black
111,The North Face Nuptse Jacket - Brown (3),women,jackets,down|outdoor|brown,The North Face,348.99,423.8,18,4.6,10453,77,https://picsum.photos/seed/the-north-face-jackets-111/800/1000,6,False,XL|S|XS|L|M,Navy
112,Athleta Salutation Stash 7/8 Tight - Olive (4),women,activewear,leggings|performance|olive,Athleta,106.02,134.71,21,4.5,13807,219,https://picsum.photos/seed/athleta-activewear-112/800/1000,6,True,XL|L|XS|S|XXL|M,Black
113,CeraVe Hydrating Facial Cleanser - Black (1),beauty,skincare,cleanser|ceramides|black,CeraVe,16.16,19.27,16,4.6,11441,365,https://picsum.photos/seed/cerave-skincare-113/800/1000,6,True,,White|Blue|Purple
114,Apple Watch SE (2nd Gen) - Red (4),accessories,watches,smartwatch|fitness|red,Apple,277.12,317.7,13,4.4,4605,118,https://picsum.photos/seed/apple-watches-114/800/1000,3,False,,Black|Purple|White
115,Oakley Holbrook Prizm - Red (4),accessories,sunglasses,prizm|sport|red,Oakley,185.27,230.43,20,4.0,11286,77,https://picsum.photos/seed/oakley-sunglasses-115/800/1000,2,True,,Green|Olive
116,Herschel Little America Backpack - Navy (4),accessories,bags,backpack|travel|navy,Herschel,128.31,170.11,25,3.9,5408,498,https://picsum.photos/seed/herschel-bags-116/800/1000,4,True,,Brown
117,Casio G-Shock DW5600 - Brown (1),accessories,watches,shock resistant|digital|brown,Casio,91.16,109.64,17,3.9,15321,288,https://picsum.photos/seed/casio-watches-117/800/1000,5,True,,Navy|Grey
118,Levi's 501 Original Fit Jeans - White (2),men,jeans,denim|heritage|white,Levi's,89.14,110.27,19,4.3,7699,320,https://picsum.photos/seed/levi's-jeans-118/800/1000,6,True,M|XS|XL|S|L,Navy
119,Lululemon ABC Slim-Fit Pant - Navy (3),men,pants,commuter|stretch|navy,Lululemon,120.37,129.02,7,4.9,365,30,https://picsum.photos/seed/lululemon-pants-119/800/1000,2,True,XL|M|L,Green
120,COS Relaxed Linen Shirt - White (4),men,shirts,linen|summer|white,COS,82.52,90.9,9,4.1,10494,58,https://picsum.photos/seed/cos-shirts-120/800/1000,4,True,XL|S|L|M,Red
121,Tumi Alpha 3 Expandable Brief - Black (2),accessories,bags,brief|travel|black,Tumi,567.44,719.78,21,4.9,402,91,https://picsum.photos/seed/tumi-bags-121/800/1000,6,False,,Blue|Olive|Brown
122,Gap Kids Graphic Tee - White (1),kids,t-shirts,cotton|graphic|white,Gap,16.35,21.87,25,4.6,17728,217,https://picsum.photos/seed/gap-t-shirts-122/800/1000,6,True,11C|13C|12C|10C|1Y|3Y|2Y,Blue
123,Skip Hop Diaper Backpack - Purple (3),kids,bags,parents|diaper|purple,Skip Hop,70.94,77.23,8,3.9,6374,21,https://picsum.photos/seed/skip-hop-bags-123/800/1000,6,False,11C|1Y|10C|2Y,Olive|Pink
124,Fenty Beauty Gloss Bomb - Green (3),beauty,makeup,lip gloss|shine|green,Fenty Beauty,23.55,28.84,18,4.8,2677,368,https://picsum.photos/seed/fenty-beauty-makeup-124/800/1000,4,True,,Grey
125,Converse Chuck 70 High - Grey (4),footwear,sneakers,canvas|lifestyle|grey,Converse,99.95,122.59,18,3.9,13666,252,https://picsum.photos/seed/converse-sneakers-125/800/1000,6,True,10|6|11|12,Navy
